Name,District,Municipality,Township,Line
Porto Campanhã,PORTO,PORTO,Porto,Linha do Norte
Viana do Castelo,VIANA DO CASTELO,VIANA DO CASTELO,Viana do Castelo,Linha do Minho
Ermidas-Sado,SETÚBAL,SANTIAGO DO CACÉM,Ermidas-Sado,Linha do Sul
Faro,FARO,FARO,Faro,Linha do Algarve
Funcheira,BEJA,OURIQUE,Funcheira,Linha do Sul
Lisboa Oriente,LISBOA,LISBOA,Parque das Nações,Linha do Norte
Nine,BRAGA,FAMALICÃO,Nine,Linha do Minho
Pinhal Novo,SETÚBAL,PALMELA,Pinhal Novo,Linha do Sul
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Tunes,FARO,SILVES,Tunes,Linha do Sul
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
Silva,BRAGA,BARCELOS,Silva,Linha do Minho
São Pedro da Torre,VIANA DO CASTELO,VALENÇA,São Pedro da Torre,Linha do Minho
Vila Nova da Raínha,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Estarreja,AVEIRO,ESTARREJA,Beduído e Veiros,Linha do Norte
Branca,AVEIRO,ALBERGARIA-A-VELHA,Branca,Linha do Vouga
Valongo-Vouga,AVEIRO,ÁGUEDA,Valongo do Vouga,Linha do Vouga
Mirão,PORTO,BAIÃO,Santa Cruz do Douro e São Tomé de Covelas,Linha do Douro
Oliveira,PORTO,AMARANTE,Vila Meã,Linha do Douro
Famalicão,BRAGA,VILA NOVA DE FAMALICÃO,Vila Nova de Famalicão e Calendário,Linha do Minho
Covas,BRAGA,GUIMARÃES,Urgezes,Linha de Guimarães
Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Seiça-Ourém,SANTARÉM,OURÉM,Seiça,Linha do Norte
Alferrarede,SANTARÉM,ABRANTES,Abrantes (São Vicente e São João) e Alferrarede,Linha da Beira Baixa
Fernando Pó,SETÚBAL,PALMELA,Poceirão e Marateca,Linha do Alentejo
Aveiro - Vouga,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
São Romão,PORTO,TROFA,Coronado (São Romão e São Mamede),Linha do Minho
Freixo de Numão,GUARDA,VILA NOVA DE FOZ CÔA,Vila Nova de Foz Côa,Linha do Douro
Benquerenças,CASTELO BRANCO,CASTELO BRANCO,Benquerenças,Linha da Beira Baixa
Fungalvaz Resguardo,SANTARÉM,TOMAR,Madalena e Beselga,Linha do Norte
Alcainça-Moinhos,LISBOA,MAFRA,Malveira e São Miguel de Alcainça,Linha do Oeste
Pereirinhas,BRAGA,GUIMARÃES,Moreira de Cónegos,Linha de Guimarães
São Frutuoso,PORTO,MAIA,Folgosa,Linha do Minho
Vila Franca de Xira,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira,Linha do Norte
Couto de Cucujães,AVEIRO,OLIVEIRA DE AZEMÉIS,Vila de Cucujães,Linha do Vouga
Oliveira de Azeméis,AVEIRO,OLIVEIRA DE AZEMÉIS,"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail",Linha do Vouga
Carreço,VIANA DO CASTELO,VIANA DO CASTELO,Carreço,Linha do Minho
Afife,VIANA DO CASTELO,VIANA DO CASTELO,Afife,Linha do Minho
Simões,COIMBRA,SOURE,Soure,Linha do Norte
Taipa - Requeixo,AVEIRO,AVEIRO,"Requeixo, Nossa Senhora de Fátima e Nariz",Linha do Vouga
Marco de Canaveses,PORTO,MARCO DE CANAVESES,Marco,Linha do Douro
Vila Nova de Anços,COIMBRA,SOURE,Vila Nova de Anços,Linha do Norte
Sanfins,AVEIRO,SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Linha do Vouga
São Mamede de Infesta,PORTO,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,Linha de Leixões
